"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDPHRWKD","TOT","IDX2015","A","1970",49.623845,
"AUS","GDPHRWKD","TOT","IDX2015","A","1971",50.862478,
"AUS","GDPHRWKD","TOT","IDX2015","A","1972",51.984611,
"AUS","GDPHRWKD","TOT","IDX2015","A","1973",53.0567,
"AUS","GDPHRWKD","TOT","IDX2015","A","1974",52.20479,
"AUS","GDPHRWKD","TOT","IDX2015","A","1975",54.138875,
"AUS","GDPHRWKD","TOT","IDX2015","A","1976",55.0402,
"AUS","GDPHRWKD","TOT","IDX2015","A","1977",54.976491,
"AUS","GDPHRWKD","TOT","IDX2015","A","1978",57.300068,
"AUS","GDPHRWKD","TOT","IDX2015","A","1979",57.594451,
"AUS","GDPHRWKD","TOT","IDX2015","A","1980",58.238537,
"AUS","GDPHRWKD","TOT","IDX2015","A","1981",59.918599,
"AUS","GDPHRWKD","TOT","IDX2015","A","1982",60.638746,
"AUS","GDPHRWKD","TOT","IDX2015","A","1983",62.300779,
"AUS","GDPHRWKD","TOT","IDX2015","A","1984",63.654717,
"AUS","GDPHRWKD","TOT","IDX2015","A","1985",63.534502,
"AUS","GDPHRWKD","TOT","IDX2015","A","1986",63.568588,
"AUS","GDPHRWKD","TOT","IDX2015","A","1987",64.925471,
"AUS","GDPHRWKD","TOT","IDX2015","A","1988",64.723328,
"AUS","GDPHRWKD","TOT","IDX2015","A","1989",64.93659,
"AUS","GDPHRWKD","TOT","IDX2015","A","1990",65.959708,
"AUS","GDPHRWKD","TOT","IDX2015","A","1991",67.465951,
"AUS","GDPHRWKD","TOT","IDX2015","A","1992",69.532751,
"AUS","GDPHRWKD","TOT","IDX2015","A","1993",69.683356,
"AUS","GDPHRWKD","TOT","IDX2015","A","1994",69.804197,
"AUS","GDPHRWKD","TOT","IDX2015","A","1995",71.896707,
"AUS","GDPHRWKD","TOT","IDX2015","A","1996",74.385119,
"AUS","GDPHRWKD","TOT","IDX2015","A","1997",76.904894,
"AUS","GDPHRWKD","TOT","IDX2015","A","1998",79.324425,
"AUS","GDPHRWKD","TOT","IDX2015","A","1999",80.009068,
"AUS","GDPHRWKD","TOT","IDX2015","A","2000",80.913688,
"AUS","GDPHRWKD","TOT","IDX2015","A","2001",83.746965,
"AUS","GDPHRWKD","TOT","IDX2015","A","2002",85.015035,
"AUS","GDPHRWKD","TOT","IDX2015","A","2003",86.971034,
"AUS","GDPHRWKD","TOT","IDX2015","A","2004",86.684826,
"AUS","GDPHRWKD","TOT","IDX2015","A","2005",86.983829,
"AUS","GDPHRWKD","TOT","IDX2015","A","2006",87.42353,
"AUS","GDPHRWKD","TOT","IDX2015","A","2007",88.411503,
"AUS","GDPHRWKD","TOT","IDX2015","A","2008",91.456608,
"AUS","GDPHRWKD","TOT","IDX2015","A","2009",90.665463,
"AUS","GDPHRWKD","TOT","IDX2015","A","2010",92.166362,
"AUS","GDPHRWKD","TOT","IDX2015","A","2011",93.250113,
"AUS","GDPHRWKD","TOT","IDX2015","A","2012",95.4977,
"AUS","GDPHRWKD","TOT","IDX2015","A","2013",97.122744,
"AUS","GDPHRWKD","TOT","IDX2015","A","2014",97.551885,
"AUS","GDPHRWKD","TOT","IDX2015","A","2015",100,
"AUS","GDPHRWKD","TOT","IDX2015","A","2016",99.728309,
"AUS","GDPHRWKD","TOT","IDX2015","A","2017",100.854561,
"AUS","GDPHRWKD","TOT","IDX2015","A","2018",100.795748,"E"
"AUS","GDPHRWKD","TOT","IDX2015","A","2019",102.036514,"E"
"AUS","GDPHRWKD","TOT","IDX2015","A","2020",103.135776,"E"
"AUT","GDPHRWKD","TOT","IDX2015","A","1995",75.973772,
"AUT","GDPHRWKD","TOT","IDX2015","A","1996",76.077082,
"AUT","GDPHRWKD","TOT","IDX2015","A","1997",76.741271,
"AUT","GDPHRWKD","TOT","IDX2015","A","1998",79.634747,
"AUT","GDPHRWKD","TOT","IDX2015","A","1999",81.04039,
"AUT","GDPHRWKD","TOT","IDX2015","A","2000",82.989636,
"AUT","GDPHRWKD","TOT","IDX2015","A","2001",84.042707,
"AUT","GDPHRWKD","TOT","IDX2015","A","2002",85.615532,
"AUT","GDPHRWKD","TOT","IDX2015","A","2003",86.329189,
"AUT","GDPHRWKD","TOT","IDX2015","A","2004",87.979271,
"AUT","GDPHRWKD","TOT","IDX2015","A","2005",90.135954,
"AUT","GDPHRWKD","TOT","IDX2015","A","2006",92.494362,
"AUT","GDPHRWKD","TOT","IDX2015","A","2007",94.86588,
"AUT","GDPHRWKD","TOT","IDX2015","A","2008",94.866485,
"AUT","GDPHRWKD","TOT","IDX2015","A","2009",94.195928,
"AUT","GDPHRWKD","TOT","IDX2015","A","2010",95.57564,
"AUT","GDPHRWKD","TOT","IDX2015","A","2011",96.55155,
"AUT","GDPHRWKD","TOT","IDX2015","A","2012",97.588568,
"AUT","GDPHRWKD","TOT","IDX2015","A","2013",98.235449,
